Year,ZIP code [1],Size of adjusted gross income,Adjusted gross income (AGI)
2012,14305,"$50,000 under $75,000",53223
2012,14305,"$75,000 under $100,000",38682
2012,14411,"$1 under $25,000",29551
2012,14411,"$100,000 under $200,000",46401
2012,14411,"$200,000 or more",12003
2012,14411,"$25,000 under $50,000",54073
2012,14411,"$50,000 under $75,000",49091
2012,14411,"$75,000 under $100,000",39287
2012,14414,"$1 under $25,000",15295
2012,14414,"$100,000 under $200,000",54397
2012,14414,"$200,000 or more",18051
2012,14414,"$25,000 under $50,000",31350
2012,14414,"$50,000 under $75,000",30567
2012,14414,"$75,000 under $100,000",32694
2012,14416,"$1 under $25,000",8782
2012,14416,"$100,000 under $200,000",29439
2012,14416,"$200,000 or more",0
2012,14416,"$25,000 under $50,000",17096
2012,14416,"$50,000 under $75,000",17380
2012,14416,"$75,000 under $100,000",19477
2012,14418,"$1 under $25,000",2731
2012,14418,"$100,000 under $200,000",8431
2012,14418,"$200,000 or more",0
2012,14418,"$25,000 under $50,000",4311
2012,14418,"$50,000 under $75,000",5544
2012,14418,"$75,000 under $100,000",4348
2012,14420,"$1 under $25,000",34797
2012,14420,"$100,000 under $200,000",116286
2012,14420,"$200,000 or more",34037
2012,14420,"$25,000 under $50,000",60804
2012,14420,"$50,000 under $75,000",69686
2012,14420,"$75,000 under $100,000",73509
2012,14422,"$1 under $25,000",5036
2012,14422,"$100,000 under $200,000",21159
2012,14422,"$200,000 or more",0
2012,14422,"$25,000 under $50,000",9664
2012,14422,"$50,000 under $75,000",12005
2012,14422,"$75,000 under $100,000",8283
2012,14423,"$1 under $25,000",10772
2012,14423,"$100,000 under $200,000",28327
2012,14423,"$200,000 or more",10247
2012,14423,"$25,000 under $50,000",20642
2012,14423,"$50,000 under $75,000",22038
2012,14423,"$75,000 under $100,000",24883
2012,14424,"$1 under $25,000",59561
2012,14424,"$100,000 under $200,000",218484
2012,14424,"$200,000 or more",185738
2012,14424,"$25,000 under $50,000",109294
2012,14424,"$50,000 under $75,000",115011
2012,14424,"$75,000 under $100,000",108429
2012,14425,"$1 under $25,000",23441
2012,14425,"$100,000 under $200,000",94403
2012,14425,"$200,000 or more",21799
2012,14425,"$25,000 under $50,000",47327
2012,14425,"$50,000 under $75,000",53880
2012,14425,"$75,000 under $100,000",54773
2012,14427,"$1 under $25,000",4740
2012,14427,"$100,000 under $200,000",9852
2012,14427,"$200,000 or more",0
2012,14427,"$25,000 under $50,000",8879
2012,14427,"$50,000 under $75,000",10179
2012,14427,"$75,000 under $100,000",8045
2012,14428,"$1 under $25,000",17125
2012,14428,"$100,000 under $200,000",81920
2012,14428,"$200,000 or more",28182
2012,14428,"$25,000 under $50,000",37146
2012,14428,"$50,000 under $75,000",41698
2012,14428,"$75,000 under $100,000",46237
2012,14432,"$1 under $25,000",12053
2012,14432,"$100,000 under $200,000",29285
2012,14432,"$200,000 or more",11141
2012,14432,"$25,000 under $50,000",24998
2012,14432,"$50,000 under $75,000",24772
2012,14432,"$75,000 under $100,000",21792
2012,14433,"$1 under $25,000",10704
2012,14433,"$100,000 under $200,000",19266
2012,14433,"$200,000 or more",0
2012,14433,"$25,000 under $50,000",21054
2012,14433,"$50,000 under $75,000",17820
2012,14433,"$75,000 under $100,000",13452
2012,14435,"$1 under $25,000",5596
2012,14435,"$100,000 under $200,000",24277
2012,14435,"$200,000 or more",8917
2012,14435,"$25,000 under $50,000",12798
2012,14435,"$50,000 under $75,000",14148
2012,14435,"$75,000 under $100,000",15576
2012,14437,"$1 under $25,000",21655
2012,14437,"$100,000 under $200,000",44642
2012,14437,"$200,000 or more",14490
2012,14437,"$25,000 under $50,000",42945
2012,14437,"$50,000 under $75,000",40006
2012,14437,"$75,000 under $100,000",31451
2012,14441,"$1 under $25,000",1167
2012,14441,"$100,000 under $200,000",0
2012,14441,"$200,000 or more",0
2012,14441,"$25,000 under $50,000",2984
2012,14441,"$50,000 under $75,000",0
2012,14441,"$75,000 under $100,000",3264
2012,14445,"$1 under $25,000",21684
2012,14445,"$100,000 under $200,000",29589
2012,14445,"$200,000 or more",13359
2012,14445,"$25,000 under $50,000",41297
2012,14445,"$50,000 under $75,000",36571
2012,14445,"$75,000 under $100,000",23388
2012,14450,"$1 under $25,000",70288
2012,14450,"$100,000 under $200,000",585609
2012,14450,"$200,000 or more",542348
2012,14450,"$25,000 under $50,000",140318
2012,14450,"$50,000 under $75,000",175359
2012,14450,"$75,000 under $100,000",221359
2012,14454,"$1 under $25,000",11317
2012,14454,"$100,000 under $200,000",61626
2012,14454,"$200,000 or more",31196
2012,14454,"$25,000 under $50,000",22147
2012,14454,"$50,000 under $75,000",27384
2012,14454,"$75,000 under $100,000",28159
2012,14456,"$1 under $25,000",48791
2012,14456,"$100,000 under $200,000",93690
2012,14456,"$200,000 or more",61158
2012,14456,"$25,000 under $50,000",77049
2012,14456,"$50,000 under $75,000",66637
2012,14456,"$75,000 under $100,000",59817
2012,14462,"$1 under $25,000",1290
2012,14462,"$100,000 under $200,000",3903
2012,14462,"$200,000 or more",0
2012,14462,"$25,000 under $50,000",2665
2012,14462,"$50,000 under $75,000",3866
2012,14462,"$75,000 under $100,000",3086
2012,14464,"$1 under $25,000",16356
2012,14464,"$100,000 under $200,000",39012
2012,14464,"$200,000 or more",7337
2012,14464,"$25,000 under $50,000",31687
2012,14464,"$50,000 under $75,000",32125
2012,14464,"$75,000 under $100,000",33086
2012,14466,"$1 under $25,000",3786
2012,14466,"$100,000 under $200,000",13542
2012,14466,"$200,000 or more",0
2012,14466,"$25,000 under $50,000",7027
2012,14466,"$50,000 under $75,000",9074
2012,14466,"$75,000 under $100,000",9199
2012,14467,"$1 under $25,000",20881
2012,14467,"$100,000 under $200,000",72037
2012,14467,"$200,000 or more",30522
2012,14467,"$25,000 under $50,000",40665
2012,14467,"$50,000 under $75,000",45642
2012,14467,"$75,000 under $100,000",44840
2012,14468,"$1 under $25,000",37273
2012,14468,"$100,000 under $200,000",158939
2012,14468,"$200,000 or more",80129
2012,14468,"$25,000 under $50,000",76119
2012,14468,"$50,000 under $75,000",92017
2012,14468,"$75,000 under $100,000",98315
2012,14469,"$1 under $25,000",13204
2012,14469,"$100,000 under $200,000",39327
2012,14469,"$200,000 or more",21944
2012,14469,"$25,000 under $50,000",24839
2012,14469,"$50,000 under $75,000",27836
2012,14469,"$75,000 under $100,000",29578
2012,14470,"$1 under $25,000",18600
2012,14470,"$100,000 under $200,000",38701
2012,14470,"$200,000 or more",0
2012,14470,"$25,000 under $50,000",36881
2012,14470,"$50,000 under $75,000",38830
2012,14470,"$75,000 under $100,000",30598
2012,14471,"$1 under $25,000",6434
2012,14471,"$100,000 under $200,000",18200
2012,14471,"$200,000 or more",8473
2012,14471,"$25,000 under $50,000",12456
2012,14471,"$50,000 under $75,000",14683
2012,14471,"$75,000 under $100,000",11738
2012,14472,"$1 under $25,000",14423
2012,14472,"$100,000 under $200,000",122277
2012,14472,"$200,000 or more",204964
2012,14472,"$25,000 under $50,000",26723
2012,14472,"$50,000 under $75,000",32043
2012,14472,"$75,000 under $100,000",34096
2012,14475,"$1 under $25,000",525
2012,14475,"$100,000 under $200,000",6431
2012,14475,"$200,000 or more",0
2012,14475,"$25,000 under $50,000",945
2012,14475,"$50,000 under $75,000",1545
2012,14475,"$75,000 under $100,000",1822
2012,14476,"$1 under $25,000",4186
2012,14476,"$100,000 under $200,000",15531
2012,14476,"$200,000 or more",0
2012,14476,"$25,000 under $50,000",9222
2012,14476,"$50,000 under $75,000",12671
2012,14476,"$75,000 under $100,000",8627
2012,14477,"$1 under $25,000",4211
2012,14477,"$100,000 under $200,000",10470
2012,14477,"$200,000 or more",0
2012,14477,"$25,000 under $50,000",7497
2012,14477,"$50,000 under $75,000",6988
2012,14477,"$75,000 under $100,000",6946
2012,14478,"$1 under $25,000",1918
2012,14478,"$100,000 under $200,000",12066
2012,14478,"$200,000 or more",0
2012,14478,"$25,000 under $50,000",3619
2012,14478,"$50,000 under $75,000",5029
2012,14478,"$75,000 under $100,000",4198
2012,14480,"$1 under $25,000",2806
2012,14480,"$100,000 under $200,000",7311
2012,14480,"$200,000 or more",0
2012,14480,"$25,000 under $50,000",3677
2012,14480,"$50,000 under $75,000",4477
2012,14480,"$75,000 under $100,000",3119
2012,14481,"$1 under $25,000",4279
2012,14481,"$100,000 under $200,000",10114
2012,14481,"$200,000 or more",0
2012,14481,"$25,000 under $50,000",9436
2012,14481,"$50,000 under $75,000",10572
2012,14481,"$75,000 under $100,000",7700
2012,14482,"$1 under $25,000",19215
2012,14482,"$100,000 under $200,000",47872
2012,14482,"$200,000 or more",20609
2012,14482,"$25,000 under $50,000",36434
2012,14482,"$50,000 under $75,000",39341
2012,14482,"$75,000 under $100,000",34343
2012,14485,"$1 under $25,000",9178
2012,14485,"$100,000 under $200,000",27076
2012,14485,"$200,000 or more",12915
2012,14485,"$25,000 under $50,000",17284
2012,14485,"$50,000 under $75,000",18973
2012,14485,"$75,000 under $100,000",18976
2012,14486,"$1 under $25,000",659
2012,14486,"$100,000 under $200,000",0
2012,14486,"$200,000 or more",0
2012,14486,"$25,000 under $50,000",1481
2012,14486,"$50,000 under $75,000",1700
2012,14486,"$75,000 under $100,000",3765
2012,14487,"$1 under $25,000",12088
2012,14487,"$100,000 under $200,000",51709
2012,14487,"$200,000 or more",20096
2012,14487,"$25,000 under $50,000",23008
2012,14487,"$50,000 under $75,000",26695
2012,14487,"$75,000 under $100,000",29631
2012,14489,"$1 under $25,000",17712
2012,14489,"$100,000 under $200,000",29407
2012,14489,"$200,000 or more",0
2012,14489,"$25,000 under $50,000",33425
2012,14489,"$50,000 under $75,000",30532
2012,14489,"$75,000 under $100,000",21849
2012,14502,"$1 under $25,000",20678
2012,14502,"$100,000 under $200,000",106115
2012,14502,"$200,000 or more",34840
2012,14502,"$25,000 under $50,000",40568
2012,14502,"$50,000 under $75,000",47702
2012,14502,"$75,000 under $100,000",50797
2012,14504,"$1 under $25,000",5010
2012,14504,"$100,000 under $200,000",4620
2012,14504,"$200,000 or more",0
2012,14504,"$25,000 under $50,000",9463
2012,14504,"$50,000 under $75,000",9067
2012,14504,"$75,000 under $100,000",4485
2012,14505,"$1 under $25,000",12225
2012,14505,"$100,000 under $200,000",27304
2012,14505,"$200,000 or more",8263
2012,14505,"$25,000 under $50,000",23963
2012,14505,"$50,000 under $75,000",26303
2012,14505,"$75,000 under $100,000",26696
2012,14506,"$1 under $25,000",1452
2012,14506,"$100,000 under $200,000",21892
2012,14506,"$200,000 or more",34922
2012,14506,"$25,000 under $50,000",3065
2012,14506,"$50,000 under $75,000",3995
2012,14506,"$75,000 under $100,000",7205
2012,14507,"$1 under $25,000",3160
2012,14507,"$100,000 under $200,000",8439
2012,14507,"$200,000 or more",0
2012,14507,"$25,000 under $50,000",6134
2012,14507,"$50,000 under $75,000",5950
2012,14507,"$75,000 under $100,000",4896
2012,14510,"$1 under $25,000",12936
2012,14510,"$100,000 under $200,000",18882
2012,14510,"$200,000 or more",0
2012,14510,"$25,000 under $50,000",20313
2012,14510,"$50,000 under $75,000",19798
2012,14510,"$75,000 under $100,000",15965
2012,14512,"$1 under $25,000",11005
2012,14512,"$100,000 under $200,000",23414
2012,14512,"$200,000 or more",25394
2012,14512,"$25,000 under $50,000",19668
2012,14512,"$50,000 under $75,000",21656
2012,14512,"$75,000 under $100,000",18773
2012,14513,"$1 under $25,000",36791
2012,14513,"$100,000 under $200,000",51448
2012,14513,"$200,000 or more",16116
2012,14513,"$25,000 under $50,000",63010
2012,14513,"$50,000 under $75,000",56910
2012,14513,"$75,000 under $100,000",44873
2012,14514,"$1 under $25,000",11635
2012,14514,"$100,000 under $200,000",54029
2012,14514,"$200,000 or more",12545
2012,14514,"$25,000 under $50,000",24257
2012,14514,"$50,000 under $75,000",27752
2012,14514,"$75,000 under $100,000",31073
2012,14516,"$1 under $25,000",4892
2012,14516,"$100,000 under $200,000",17551
2012,14516,"$200,000 or more",0
2012,14516,"$25,000 under $50,000",10759
2012,14516,"$50,000 under $75,000",9183
2012,14516,"$75,000 under $100,000",8937
2012,14517,"$1 under $25,000",6059
2012,14517,"$100,000 under $200,000",16325
2012,14517,"$200,000 or more",0
2012,14517,"$25,000 under $50,000",12118
2012,14517,"$50,000 under $75,000",12002
2012,14517,"$75,000 under $100,000",10152
2012,14519,"$1 under $25,000",24984
2012,14519,"$100,000 under $200,000",111092
2012,14519,"$200,000 or more",33841
2012,14519,"$25,000 under $50,000",47951
2012,14519,"$50,000 under $75,000",58080
2012,14519,"$75,000 under $100,000",62025
2012,14521,"$1 under $25,000",6998
2012,14521,"$100,000 under $200,000",18079
2012,14521,"$200,000 or more",0
2012,14521,"$25,000 under $50,000",13349
2012,14521,"$50,000 under $75,000",10264
2012,14521,"$75,000 under $100,000",7693
2012,14522,"$1 under $25,000",20939
2012,14522,"$100,000 under $200,000",50830
2012,14522,"$200,000 or more",16143
2012,14522,"$25,000 under $50,000",43393
2012,14522,"$50,000 under $75,000",38804
2012,14522,"$75,000 under $100,000",37204
2012,14525,"$1 under $25,000",6012
2012,14525,"$100,000 under $200,000",16710
2012,14525,"$200,000 or more",0
2012,14525,"$25,000 under $50,000",13193
2012,14525,"$50,000 under $75,000",14378
2012,14525,"$75,000 under $100,000",13446
2012,14526,"$1 under $25,000",35153
2012,14526,"$100,000 under $200,000",293317
2012,14526,"$200,000 or more",250464
2012,14526,"$25,000 under $50,000",67465
2012,14526,"$50,000 under $75,000",90360
2012,14526,"$75,000 under $100,000",108764
2012,14527,"$1 under $25,000",30097
2012,14527,"$100,000 under $200,000",58924
2012,14527,"$200,000 or more",31626
2012,14527,"$25,000 under $50,000",52706
2012,14527,"$50,000 under $75,000",49195
2012,14527,"$75,000 under $100,000",41800
2012,14530,"$1 under $25,000",12105
2012,14530,"$100,000 under $200,000",19118
2012,14530,"$200,000 or more",13310
2012,14530,"$25,000 under $50,000",26942
2012,14530,"$50,000 under $75,000",24216
2012,14530,"$75,000 under $100,000",18307
2012,14532,"$1 under $25,000",10496
2012,14532,"$100,000 under $200,000",24027
2012,14532,"$200,000 or more",8069
2012,14532,"$25,000 under $50,000",22005
2012,14532,"$50,000 under $75,000",19599
2012,14532,"$75,000 under $100,000",19871
2012,14533,"$1 under $25,000",3543
2012,14533,"$100,000 under $200,000",9926
2012,14533,"$200,000 or more",0
2012,14533,"$25,000 under $50,000",7198
2012,14533,"$50,000 under $75,000",7375
2012,14533,"$75,000 under $100,000",7100
2012,14534,"$1 under $25,000",39187
2012,14534,"$100,000 under $200,000",525427
2012,14534,"$200,000 or more",1390283
2012,14534,"$25,000 under $50,000",71391
2012,14534,"$50,000 under $75,000",112814
2012,14534,"$75,000 under $100,000",146647
2012,14536,"$1 under $25,000",1338
2012,14536,"$100,000 under $200,000",0
2012,14536,"$200,000 or more",0
2012,14536,"$25,000 under $50,000",2883
2012,14536,"$50,000 under $75,000",3223
2012,14536,"$75,000 under $100,000",4223
2012,14541,"$1 under $25,000",4795
2012,14541,"$100,000 under $200,000",12915
2012,14541,"$200,000 or more",9197
2012,14541,"$25,000 under $50,000",9529
2012,14541,"$50,000 under $75,000",9722
2012,14541,"$75,000 under $100,000",8998
2012,14543,"$1 under $25,000",5726
2012,14543,"$100,000 under $200,000",39018
2012,14543,"$200,000 or more",30800
2012,14543,"$25,000 under $50,000",12814
2012,14543,"$50,000 under $75,000",17493
2012,14543,"$75,000 under $100,000",18584
2012,14544,"$1 under $25,000",4327
2012,14544,"$100,000 under $200,000",10236
2012,14544,"$200,000 or more",9078
2012,14544,"$25,000 under $50,000",8304
2012,14544,"$50,000 under $75,000",7926
2012,14544,"$75,000 under $100,000",6842
2012,14546,"$1 under $25,000",9588
2012,14546,"$100,000 under $200,000",33971
2012,14546,"$200,000 or more",29230
2012,14546,"$25,000 under $50,000",21523
2012,14546,"$50,000 under $75,000",25012
2012,14546,"$75,000 under $100,000",24027
2012,14548,"$1 under $25,000",9902
2012,14548,"$100,000 under $200,000",22270
2012,14548,"$200,000 or more",0
2012,14548,"$25,000 under $50,000",18484
2012,14548,"$50,000 under $75,000",18747
2012,14548,"$75,000 under $100,000",16786
2012,14550,"$1 under $25,000",3778
2012,14550,"$100,000 under $200,000",8611
2012,14550,"$200,000 or more",0
2012,14550,"$25,000 under $50,000",8269
2012,14550,"$50,000 under $75,000",7488
2012,14550,"$75,000 under $100,000",6673
2012,14551,"$1 under $25,000",13568
2012,14551,"$100,000 under $200,000",24128
2012,14551,"$200,000 or more",0
2012,14551,"$25,000 under $50,000",26313
2012,14551,"$50,000 under $75,000",22924
2012,14551,"$75,000 under $100,000",17372
2012,14555,"$1 under $25,000",2312
2012,14555,"$100,000 under $200,000",13904
2012,14555,"$200,000 or more",0
2012,14555,"$25,000 under $50,000",4642
2012,14555,"$50,000 under $75,000",4459
2012,14555,"$75,000 under $100,000",4239
2012,14559,"$1 under $25,000",36931
2012,14559,"$100,000 under $200,000",180605
2012,14559,"$200,000 or more",105897
2012,14559,"$25,000 under $50,000",69349
2012,14559,"$50,000 under $75,000",86245
2012,14559,"$75,000 under $100,000",86530
2012,14560,"$1 under $25,000",4873
2012,14560,"$100,000 under $200,000",14664
2012,14560,"$200,000 or more",0
2012,14560,"$25,000 under $50,000",9961
2012,14560,"$50,000 under $75,000",10336
2012,14560,"$75,000 under $100,000",8075
2012,14561,"$1 under $25,000",6584
2012,14561,"$100,000 under $200,000",17448
2012,14561,"$200,000 or more",0
2012,14561,"$25,000 under $50,000",13034
2012,14561,"$50,000 under $75,000",14340
2012,14561,"$75,000 under $100,000",11495
2012,14564,"$1 under $25,000",23658
2012,14564,"$100,000 under $200,000",202232
2012,14564,"$200,000 or more",353053
2012,14564,"$25,000 under $50,000",43172
2012,14564,"$50,000 under $75,000",56938
2012,14564,"$75,000 under $100,000",57346
2012,14568,"$1 under $25,000",10520
2012,14568,"$100,000 under $200,000",57717
2012,14568,"$200,000 or more",12529
2012,14568,"$25,000 under $50,000",23441
2012,14568,"$50,000 under $75,000",31169
2012,14568,"$75,000 under $100,000",35606
2012,14569,"$1 under $25,000",13569
2012,14569,"$100,000 under $200,000",30151
2012,14569,"$200,000 or more",12593
2012,14569,"$25,000 under $50,000",26012
2012,14569,"$50,000 under $75,000",28081
2012,14569,"$75,000 under $100,000",22368
2012,14571,"$1 under $25,000",3315
2012,14571,"$100,000 under $200,000",9518
2012,14571,"$200,000 or more",0
2012,14571,"$25,000 under $50,000",5715
2012,14571,"$50,000 under $75,000",5474
2012,14571,"$75,000 under $100,000",4793
2012,14572,"$1 under $25,000",11941
2012,14572,"$100,000 under $200,000",22196
2012,14572,"$200,000 or more",0
2012,14572,"$25,000 under $50,000",21961
2012,14572,"$50,000 under $75,000",22577
2012,14572,"$75,000 under $100,000",16170
2012,14580,"$1 under $25,000",94182
2012,14580,"$100,000 under $200,000",626838
2012,14580,"$200,000 or more",472599
2012,14580,"$25,000 under $50,000",181751
2012,14580,"$50,000 under $75,000",239980
2012,14580,"$75,000 under $100,000",273612
2012,14585,"$1 under $25,000",929
2012,14585,"$100,000 under $200,000",0
2012,14585,"$200,000 or more",0
2012,14585,"$25,000 under $50,000",1690
2012,14585,"$50,000 under $75,000",3136
2012,14585,"$75,000 under $100,000",0
2012,14586,"$1 under $25,000",16551
2012,14586,"$100,000 under $200,000",99515
2012,14586,"$200,000 or more",24101
2012,14586,"$25,000 under $50,000",38354
2012,14586,"$50,000 under $75,000",52016
2012,14586,"$75,000 under $100,000",57446
2012,14589,"$1 under $25,000",16622
2012,14589,"$100,000 under $200,000",48471
2012,14589,"$200,000 or more",22080
2012,14589,"$25,000 under $50,000",31552
2012,14589,"$50,000 under $75,000",35826
2012,14589,"$75,000 under $100,000",31213
2012,14590,"$1 under $25,000",12850
2012,14590,"$100,000 under $200,000",26937
2012,14590,"$200,000 or more",0
2012,14590,"$25,000 under $50,000",20728
2012,14590,"$50,000 under $75,000",19832
2012,14590,"$75,000 under $100,000",16780
2012,14591,"$1 under $25,000",3546
2012,14591,"$100,000 under $200,000",10374
2012,14591,"$200,000 or more",0
2012,14591,"$25,000 under $50,000",7129
2012,14591,"$50,000 under $75,000",8368
2012,14591,"$75,000 under $100,000",7819
2012,14604,"$1 under $25,000",4916
2012,14604,"$100,000 under $200,000",4663
2012,14604,"$200,000 or more",23096
2012,14604,"$25,000 under $50,000",7452
2012,14604,"$50,000 under $75,000",5153
2012,14604,"$75,000 under $100,000",3211
2012,14605,"$1 under $25,000",36870
2012,14605,"$100,000 under $200,000",10233
2012,14605,"$200,000 or more",0
2012,14605,"$25,000 under $50,000",25509
2012,14605,"$50,000 under $75,000",7588
2012,14605,"$75,000 under $100,000",2198
2012,14606,"$1 under $25,000",80212
2012,14606,"$100,000 under $200,000",61165
2012,14606,"$200,000 or more",7638
2012,14606,"$25,000 under $50,000",132723
2012,14606,"$50,000 under $75,000",102981
2012,14606,"$75,000 under $100,000",78471
2012,14607,"$1 under $25,000",47484
2012,14607,"$100,000 under $200,000",52848
2012,14607,"$200,000 or more",72684
2012,14607,"$25,000 under $50,000",94298
2012,14607,"$50,000 under $75,000",54669
2012,14607,"$75,000 under $100,000",29685
2012,14608,"$1 under $25,000",37339
2012,14608,"$100,000 under $200,000",12844
2012,14608,"$200,000 or more",6961
2012,14608,"$25,000 under $50,000",36935
2012,14608,"$50,000 under $75,000",18307
2012,14608,"$75,000 under $100,000",9326
2012,14609,"$1 under $25,000",117757
2012,14609,"$100,000 under $200,000",105429
2012,14609,"$200,000 or more",30538
2012,14609,"$25,000 under $50,000",207012
2012,14609,"$50,000 under $75,000",156242
2012,14609,"$75,000 under $100,000",102611
2012,14610,"$1 under $25,000",28662
2012,14610,"$100,000 under $200,000",139202
2012,14610,"$200,000 or more",410334
2012,14610,"$25,000 under $50,000",68671
2012,14610,"$50,000 under $75,000",72380
2012,14610,"$75,000 under $100,000",63418
2012,14611,"$1 under $25,000",52675
2012,14611,"$100,000 under $200,000",10010
2012,14611,"$200,000 or more",0
2012,14611,"$25,000 under $50,000",54504
2012,14611,"$50,000 under $75,000",23006
2012,14611,"$75,000 under $100,000",10861
2012,14612,"$1 under $25,000",77547
2012,14612,"$100,000 under $200,000",273386
2012,14612,"$200,000 or more",97715
2012,14612,"$25,000 under $50,000",161379
2012,14612,"$50,000 under $75,000",172123
2012,14612,"$75,000 under $100,000",160076
2012,14613,"$1 under $25,000",42717
2012,14613,"$100,000 under $200,000",19409
2012,14613,"$200,000 or more",0
2012,14613,"$25,000 under $50,000",48168
2012,14613,"$50,000 under $75,000",23504
2012,14613,"$75,000 under $100,000",13458
2012,14614,"$1 under $25,000",957
2012,14614,"$100,000 under $200,000",9842
2012,14614,"$200,000 or more",0
2012,14614,"$25,000 under $50,000",1516
2012,14614,"$50,000 under $75,000",2917
2012,14614,"$75,000 under $100,000",0
2012,14615,"$1 under $25,000",48500
2012,14615,"$100,000 under $200,000",41729
2012,14615,"$200,000 or more",0
2012,14615,"$25,000 under $50,000",88933
2012,14615,"$50,000 under $75,000",54584
2012,14615,"$75,000 under $100,000",39618
2012,14616,"$1 under $25,000",77543
2012,14616,"$100,000 under $200,000",106273
2012,14616,"$200,000 or more",26900
2012,14616,"$25,000 under $50,000",160284
2012,14616,"$50,000 under $75,000",137628
2012,14616,"$75,000 under $100,000",96876
2012,14617,"$1 under $25,000",49625
2012,14617,"$100,000 under $200,000",203196
2012,14617,"$200,000 or more",82173
2012,14617,"$25,000 under $50,000",106180
2012,14617,"$50,000 under $75,000",131567
2012,14617,"$75,000 under $100,000",123092
2012,14618,"$1 under $25,000",30499
2012,14618,"$100,000 under $200,000",285752
2012,14618,"$200,000 or more",571839
2012,14618,"$25,000 under $50,000",65656
2012,14618,"$50,000 under $75,000",90424
2012,14618,"$75,000 under $100,000",100590
2012,14619,"$1 under $25,000",43551
2012,14619,"$100,000 under $200,000",27603
2012,14619,"$200,000 or more",0
2012,14619,"$25,000 under $50,000",70026
2012,14619,"$50,000 under $75,000",44800
2012,14619,"$75,000 under $100,000",23804
2012,14620,"$1 under $25,000",58885
2012,14620,"$100,000 under $200,000",92059
2012,14620,"$200,000 or more",54086
2012,14620,"$25,000 under $50,000",112780
2012,14620,"$50,000 under $75,000",92545
2012,14620,"$75,000 under $100,000",59934
2012,14621,"$1 under $25,000",98049
2012,14621,"$100,000 under $200,000",15910
2012,14621,"$200,000 or more",0
2012,14621,"$25,000 under $50,000",105142
2012,14621,"$50,000 under $75,000",48178
2012,14621,"$75,000 under $100,000",19492
2012,14622,"$1 under $25,000",30282
2012,14622,"$100,000 under $200,000",63515
2012,14622,"$200,000 or more",33754
2012,14622,"$25,000 under $50,000",67822
2012,14622,"$50,000 under $75,000",70310
2012,14622,"$75,000 under $100,000",56829
2012,14623,"$1 under $25,000",48172
2012,14623,"$100,000 under $200,000",72034
2012,14623,"$200,000 or more",15714
2012,14623,"$25,000 under $50,000",92365
2012,14623,"$50,000 under $75,000",99873
2012,14623,"$75,000 under $100,000",67599
2012,14624,"$1 under $25,000",85680
2012,14624,"$100,000 under $200,000",266091
2012,14624,"$200,000 or more",91403
2012,14624,"$25,000 under $50,000",179815
2012,14624,"$50,000 under $75,000",196444
2012,14624,"$75,000 under $100,000",184895
2012,14625,"$1 under $25,000",20409
2012,14625,"$100,000 under $200,000",134433
2012,14625,"$200,000 or more",124499
2012,14625,"$25,000 under $50,000",40546
2012,14625,"$50,000 under $75,000",48948
2012,14625,"$75,000 under $100,000",56455
2012,14626,"$1 under $25,000",70832
2012,14626,"$100,000 under $200,000",223518
2012,14626,"$200,000 or more",122658
2012,14626,"$25,000 under $50,000",134573
2012,14626,"$50,000 under $75,000",148200
2012,14626,"$75,000 under $100,000",141589
2012,14701,"$1 under $25,000",104424
2012,14701,"$100,000 under $200,000",117993
2012,14701,"$200,000 or more",60431
2012,14701,"$25,000 under $50,000",137427
2012,14701,"$50,000 under $75,000",128693
2012,14701,"$75,000 under $100,000",101340
2012,14706,"$1 under $25,000",13179
2012,14706,"$100,000 under $200,000",42742
2012,14706,"$200,000 or more",30730
2012,14706,"$25,000 under $50,000",22159
2012,14706,"$50,000 under $75,000",24008
2012,14706,"$75,000 under $100,000",22705
2012,14709,"$1 under $25,000",3112
2012,14709,"$100,000 under $200,000",6793
2012,14709,"$200,000 or more",0
2012,14709,"$25,000 under $50,000",6539
2012,14709,"$50,000 under $75,000",6077
2012,14709,"$75,000 under $100,000",4485
2012,14710,"$1 under $25,000",7917
2012,14710,"$100,000 under $200,000",30300
2012,14710,"$200,000 or more",0
2012,14710,"$25,000 under $50,000",13869
2012,14710,"$50,000 under $75,000",16331
2012,14710,"$75,000 under $100,000",12847
2012,14711,"$1 under $25,000",3547
2012,14711,"$100,000 under $200,000",4583
2012,14711,"$200,000 or more",0
2012,14711,"$25,000 under $50,000",7123
2012,14711,"$50,000 under $75,000",7697
2012,14711,"$75,000 under $100,000",5113
2012,14712,"$1 under $25,000",7094
2012,14712,"$100,000 under $200,000",26024
2012,14712,"$200,000 or more",34846
2012,14712,"$25,000 under $50,000",11423
2012,14712,"$50,000 under $75,000",13087
2012,14712,"$75,000 under $100,000",12408
2012,14714,"$1 under $25,000",858
2012,14714,"$100,000 under $200,000",0
2012,14714,"$200,000 or more",0
2012,14714,"$25,000 under $50,000",1759
2012,14714,"$50,000 under $75,000",1528
2012,14714,"$75,000 under $100,000",2319
2012,14715,"$1 under $25,000",6343
2012,14715,"$100,000 under $200,000",9356
2012,14715,"$200,000 or more",0
2012,14715,"$25,000 under $50,000",10630
2012,14715,"$50,000 under $75,000",10822
2012,14715,"$75,000 under $100,000",7834
2012,14716,"$1 under $25,000",5813
2012,14716,"$100,000 under $200,000",5357
2012,14716,"$200,000 or more",0
